sentence,label
えらい！,1
ダッシュで帰ってまーす,2
帰りまーす,2
間違いなく今日一日で太ります。,4
そして,3
ちょっとお楽しみに出かけてきます,2
進撃の巨人みてたら,3
かんげんも見だして笑怖いのでしょうね,3
目を覆いながら見てます,13
パパ出かけるけどみてる？,3
と聞くと,3
しばらく考えて,3
みるーと力強く答えました笑笑,6
お楽しみ,35
サクッとおえて早めに帰ろうと思います,15
マンゴー,2
進撃の巨人。,3
今日は見続けてます笑笑,2
人類の先のお話の様です。,12
巨人と人類の戦い流行っていたの分かりますね！,13
見始めると止まらないっす。,16
たまらないっす,29
ブロリーと戦うの作ってるのー,29
そして彼好みのおやつはコレ！,2
シンプルなものが好きのようです,22
餌の時間,43
届くようになってきたね,5
勉強お疲れ,13
これも目的だったのかしらん,28
起きてたべなさい,23
暑いっすね今日も,23
少しフラッとして帰ろうね…,2
あはは,16
と言われまして,3
グダグダしてたら怒られた,23
連れ出されました,2
たしかにグダグダすることが,3
あまりないので,28
麗禾的にはダメらしいです笑笑,4
ありがとう,1
少し勉強しそれからはダメ男してます。,35
クッチャネしてます,35
見続けてます。,2
楽しい…,2
そして,3
まんじゅう、ダメ男してます。,35
ありがとう。,1
麗禾とコッソリ買っちゃいました、イクラ丼ラブです,2
今日は、海鮮の日でございまする,2
幸せ、お買い物して帰ろうね,2
ちょいと行って来ます,37
いこうね,2
さ！,3
朝トレ！,11
おす！,3
食べよう,25
朝から気合い完璧注入させてもらいました,13
席着きましたー,2
さぁ！,3
食べちゃお,2
ついてから結構歩きます,28
いこか,2
着々と大きく成長してます,26
すごく嬉しい,2
少し早起き,2
今日は早起きの日です,2
なぜならば,3
お出かけでございます,2
2人も起こすという約束なので,28
起こさないと,15
起きるのか？,4
今日も多くの方々が幸せでステキな1日でありますように,15
かわいい,2
秘密,27
ライオンキングとアラジン見たのですが、私も大変勉強になりました。,29
面識はないのですが,3
この間 お亡くなりになった浅利慶太さんという方の演劇に対する思考を感じました。,29
１つの舞台を作る上でとても重要な感覚を,3
この２つの舞台で学べた事,3
そして役者さん達の根幹にある芝居愛と劇団四季愛みたいなものも感じました。,19
子供のためにと思い見にいきましたが,15
私の方が勉強になってしまいました、もちろん2人も大喜び！,11
麗禾はアラジンが勸玄はライオンキングが好きだそうです,20
なんかわかるなー,3
親子の物語と世襲のライオンキングとお姫様とアラジンの恋の物語。,13
各々が感じる部分があって,13
私本当に嬉しいです。,2
月動いてるなー,14
月は地球の衛星地球は太陽の惑星天体って不思議ですよね父が好きだった理由がよくわかります,12
よく昔の人は天動説と地動説とか意見分かれたそうでそれを確かガリレオさんが海に船を浮かべてそこのマストの上から物を落として説明した,12
とか夜空を見ると無限に思考が広がる所が,15
父は好きだったのではないかなーなんて,13
ぼんやり見てます。,14
蚊取り線香の香り好きです。,30
日本の夏という風情があり,3
私好きです。,2
しかし今年の夏は,3
蚊が少ない？,29
それとも蚊取り線香の効果？,2
寝る前に,3
トークタイムでした,13
その前に,3
急な来客もありバタバタと、、私はこれからお勉強です,15
上がりましたー,5
お疲れ！,5
今日のやる事おわりー,5
仲良ししとります,2
やはり一日の長がありますね笑笑。,28
鰻全て食べたのに、、まだ食べる？,13
美味しいらしいっす笑笑,2
食欲おかしいよ,33
どうしてもここに来たいとなり移動です。,2
寝かかっているわけではありません笑笑,28
今日は比較的 芸術の秋風な夏で御座います。,29
アラジンのお話に花が咲いてます,2
お！,21
きたきた！,21
本日は鰻です。,13
ここの鰻食べると私 すごく元気になるんです,29
さ！晩御飯いこか？,26
銀座の空なんか美しく感じます。,14
ちょっと,3
おもちゃ屋さんへ,2
2人とも大興奮でした！,2
ライオンキングとアラジン,3
２つの作品みて,3
幸せでした,38
ガリガリ君をパパダッシュにて,3
息抜きへ,33
はーい‍♂️,38
いこいこ,3
お稽古の後は,5
舞台鑑賞へ,15
二人が,3
今日はどんな感想になるのかな？,16
楽しみです,15
お疲れ様でした,5
見てます。,4
というか大向こう役していますね笑笑麗禾は禿を一年かけてお稽古です。,15
二人とも一年かけて物作りに,13
入りました。,2
見守る親金八先生だったかな？,29
親という時は,3
木の上に立って見る,3
と書いて  親と書くと日本語の深さ楽しさ愛を感じたりも致します。,11
玉兎のお稽古です。,15
この時期の踊りの稽古は,3
覚えるのに約一年くらいかけて,3
丁寧にやるものなのでゆっくりと,12
ゆっくりと,37
ゆっくりと,37
ゆっくりと,37
大切に,20
見守りたいと思います。,20
お水あげ,3
ツイツイ忘れてしまいます。,35
さ！,45
お水あげたら,3
お稽古再開。,13
お扇子を頭の上に乗せて,29
バランスを整えることから,28
今日は始まります,33
おはよ,7
わたしはジュース,41
さ！,3
朝ごはん食べよか,2
さ！,3
今日もやりますか！？,15
コツコツ,15
トレーナーさんと頑張ります,33
召し上がれ,44
今日も沢山食べようね,44
朝の散歩と運動は大切な事の様に感じます。,19
そして気持ちいいし,13
いい天気。,2
今日から朝は少し走ろうかなとそんな風に,15
思い立ったら吉日ですね,15
まだ眠い朝です,36
